1,50,8532.000000
1,750,8529.000000
1,20,8141.000000
1,240,8197.000000
1,90,8696.000000
1,78,8742.000000
1,250,9204.000000
1,200,8899.000000
1,850,8634.000000
1,70,7754.000000
1,60,8178.000000
1,506,8419.000000
1,963,8949.000000
1,220,8063.000000
1,260,8734.000000
1,789,8926.000000
1,95,9144.000000
1,340,8843.000000
1,120,8610.000000
1,306,8252.000000
1,753,7712.000000
1,912,8634.000000
1,39,9270.000000
1,203,9047.000000
1,2,8839.000000
1,78,8742.000000
1,2509,8519.000000
1,69,8146.000000
1,790,8724.000000
1,100,8307.000000
1,320,8309.000000
1,363,8514.000000
1,989,8670.000000
1,159,8594.000000
1,957,8445.000000
1,569,8395.000000
1,425,8614.000000
